Name	gene_id
NBRY_ACVR2B_0010	Acvr2b
NBRY_ACVR2B_0011	Acvr2b
NBRY_ACVR2B_0012	Acvr2b
NBRY_ACVR2B_0013	Acvr2b
NBRY_ACVR2B_0014	Acvr2b
NBRY_ACVR2B_0015	Acvr2b
NBRY_ACVR2B_0016	Acvr2b
NBRY_ACVR2B_0017	Acvr2b
NBRY_ACVR2B_0018	Acvr2b
NBRY_ACVR2B_0019	Acvr2b
NBRY_ACVR2B_0020	Acvr2b
NBRY_ACVR2B_0021	Acvr2b
NBRY_ACVR2B_0022	Acvr2b
NBRY_ACVR2B_0023	Acvr2b
NBRY_ACVR2B_0024	Acvr2b
NBRY_ACVR2B_0025	Acvr2b
NBRY_ACVR2B_0026	Acvr2b
NBRY_ACVRL1_0001	Acvrl1
NBRY_ACY1_0001	Acy1
NBRY_ACY3_0001	Acy3
NBRY_ACYP1_0001	Acyp1
NBRY_ACYP2_0001	Acyp2
NBRY_ADAD2_0001	Adad2
NBRY_ADAL_0001	Adal
NBRY_ADAM10_0001	Adam10
NBRY_ADAM11_0001	Adam11
NBRY_ADAM12_0001	Adam12
NBRY_ADAM15_0001	Adam15
NBRY_ADAM17_0001	Adam17
NBRY_ADAM17_0002	Adam17
NBRY_ADAM19_0001	Adam19
NBRY_ADAM19_0002	Adam19
NBRY_ADAM1A_0001	Adam1a
NBRY_ADAM1B_0001	Adam1b
NBRY_ADAM20_0001	Adam20
NBRY_ADAM21_0001	Adam21
NBRY_ADAM22_0001	Adam22
NBRY_ADAM23_0001	Adam23
NBRY_ADAM25_0001	Adam25
NBRY_ADAM28_0001	Adam28
NBRY_ADAM33_0001	Adam33
NBRY_ADAM3_0001	Adam3
NBRY_ADAM5_0001	Adam5
NBRY_ADAM8_0001	Adam8
NBRY_ADAM9_0001	Adam9
NBRY_ADAMDEC1_0001	Adamdec1
NBRY_ADAMTS10_0001	Adamts10
NBRY_ADAMTS12_0001	Adamts12
NBRY_ADAMTS13_0001	Adamts13
NBRY_ADAMTS14_0001	Adamts14
NBRY_ADAMTS15_0001	Adamts15
NBRY_ADAMTS16_0001	Adamts16
NBRY_ADAMTS16_0002	Adamts16
NBRY_ADAMTS16_0003	Adamts16
NBRY_ADAMTS17_0001	Adamts17
NBRY_ADAMTS17_0002	Adamts17
NBRY_ADAMTS17_0003	Adamts17
NBRY_ADAMTS18_0001	Adamts18
NBRY_ADAMTS19_0001	Adamts19
NBRY_ADAMTS19_0002	Adamts19
NBRY_ADAMTS1_0001	Adamts1
NBRY_ADAMTS20_0001	Adamts20
NBRY_ADAMTS20_0002	Adamts20
NBRY_ADAMTS20_0003	Adamts20
NBRY_ADAMTS2_0001	Adamts2
NBRY_ADAMTS3_0001	Adamts3
NBRY_ADAMTS3_0002	Adamts3
NBRY_ADAMTS3_0003	Adamts3
NBRY_ADAMTS4_0001	Adamts4
NBRY_ADAMTS5_0001	Adamts5
NBRY_ADAMTS6_0001	Adamts6
NBRY_ADAMTS7_0001	Adamts7
NBRY_ADAMTS8_0001	Adamts8
NBRY_ADAMTS9_0001	Adamts9
NBRY_ADAMTSL1_0001	Adamtsl1
NBRY_ADAMTSL1_0002	Adamtsl1
NBRY_ADAMTSL2_0001	Adamtsl2
NBRY_ADAMTSL3_0001	Adamtsl3
NBRY_ADAMTSL3_0002	Adamtsl3
NBRY_ADAMTSL4_0001	Adamtsl4
NBRY_ADAMTSL5_0001	Adamtsl5
NBRY_ADAP1_0001	Adap1
NBRY_ADAP2_0001	Adap2
NBRY_ADARB1_0001	Adarb1
NBRY_ADARB2_0001	Adarb2
NBRY_ADARB2_0002	Adarb2
NBRY_ADARB2_0003	Adarb2
NBRY_ADAR_0001	Adar
NBRY_ADAT1_0001	Adat1
NBRY_ADAT2_0001	Adat2
NBRY_ADA_0001	Ada
NBRY_ADCK1_0001	Adck1
NBRY_ADCK2_0001	Adck2
NBRY_ADCK5_0001	Adck5
NBRY_ADCY10_0001	Adcy10
NBRY_ADCY1_0001	Adcy1
NBRY_ADCY1_0002	Adcy1
NBRY_ADCY1_0003	Adcy1
NBRY_ADCY2_0001	Adcy2
NBRY_ADCY3_0001	Adcy3
NBRY_ADCY3_0002	Adcy3
NBRY_ADCY4_0001	Adcy4
NBRY_ADCY5_0001	Adcy5
NBRY_ADCY6_0001	Adcy6
NBRY_ADCY7_0001	Adcy7
NBRY_ADCY8_0001	Adcy8
NBRY_ADCY8_0002	Adcy8
NBRY_ADCY8_0003	Adcy8
